Index,TauxCompression
940,0.377322
941,0.400782
942,0.362659
943,0.443793
944,0.364614
945,0.376344
946,0.382209
947,0.371457
948,0.367546
949,0.367546
950,0.386119
951,0.361681
952,0.365591
953,0.393939
954,0.355816
955,0.399804
956,0.360704
957,0.341153
958,0.361681
959,0.357771
960,0.347996
961,0.327468
962,0.385142
963,0.378299
964,0.375367
965,0.378299
966,0.378299
967,0.389052
968,0.394917
969,0.347996
970,0.375367
971,0.355816
972,0.351906
973,0.391984
974,0.381232
975,0.364614
976,0.389052
977,0.330401
978,0.369501
979,0.364614
980,0.378299
981,0.342131
982,0.338221
983,0.356794
984,0.354839
985,0.360704
986,0.338221
987,0.377322
988,0.357771
989,0.358749
990,0.369501
991,0.357771
992,0.326491
993,0.347019
994,0.345064
995,0.352884
996,0.328446
997,0.362659
998,0.345064
999,0.351906
1000,0.357771
1001,0.380254
1002,0.318671
1003,0.360704
1004,0.350929
1005,0.359726
1006,0.314761
1007,0.332356
1008,0.362659
1009,0.340176
1010,0.334311
1011,0.348974
1012,0.350929
1013,0.364614
1014,0.336266
1015,0.345064
1016,0.346041
1017,0.324536
1018,0.344086
1019,0.323558
1020,0.291300
1021,0.329423
1022,0.342131
1023,0.305963
1024,0.662921
1025,0.663898
1026,0.662433
1027,0.672203
1028,0.673180
1029,0.659502
1030,0.671715
1031,0.653639
1032,0.664387
1033,0.663410
1034,0.681974
1035,0.676600
1036,0.669761
1037,0.667318
1038,0.663410
1039,0.658525
1040,0.662921
1041,0.648266
1042,0.671715
1043,0.665364
1044,0.654128
1045,0.661944
1046,0.663898
1047,0.651685
1048,0.656082
1049,0.664875
1050,0.661944
1051,0.642404
1052,0.670738
1053,0.669272
1054,0.643869
1055,0.648266
1056,0.659990
1057,0.669272
1058,0.635076
1059,0.668784
1060,0.662921
1061,0.665364
1062,0.648754
1063,0.649731
1064,0.648754
1065,0.653151
1066,0.644846
1067,0.646800
1068,0.642892
1069,0.652174
1070,0.633122
1071,0.659013
1072,0.649731
1073,0.643869
1074,0.640938
1075,0.645823
1076,0.652662
1077,0.638984
1078,0.643869
1079,0.655105
1080,0.644846
1081,0.650220
1082,0.635076
1083,0.654617
1084,0.659013
1085,0.649731
1086,0.640938
1087,0.655105
1088,0.638495
1089,0.646800
1090,0.646800
1091,0.643869
1092,0.643869
1093,0.636541
1094,0.634587
1095,0.636053
1096,0.645335
1097,0.651197
1098,0.653151
1099,0.644358
1100,0.624328
1101,0.646312
1102,0.644358
1103,0.638007
1104,0.636053
1105,0.648754
1106,0.628236
1107,0.637518
1108,0.637030
1109,0.643381
1110,0.631656
1111,0.638007
1112,0.640449
1113,0.649731
1114,0.632633
1115,0.638495
1116,0.632633
1117,0.631656
1118,0.648266
1119,0.630679
1120,0.643869
1121,0.638007
1122,0.642892
1123,0.626771
1124,0.635564
1125,0.636541
1126,0.628236
1127,0.617489
1128,0.614069
1129,0.624328
1130,0.642892
1131,0.620909
1132,0.638495
1133,0.620909
1134,0.630191
1135,0.628725
1136,0.638495
1137,0.633610
1138,0.627259
1139,0.620909
1140,0.620909
1141,0.630191
1142,0.622374
1143,0.617489
1144,0.625305
1145,0.628725
1146,0.626771
1147,0.620420
1148,0.621886
1149,0.610650
1150,0.615535
1151,0.628236
1152,0.637518
1153,0.641426
1154,0.622374
1155,0.625305
1156,0.625794
1157,0.610161
1158,0.619932
1159,0.608696
1160,0.603322
1161,0.617489
1162,0.615046
1163,0.623351
1164,0.624817
1165,0.609184
1166,0.641426
1167,0.623351
1168,0.620420
1169,0.625305
1170,0.615535
1171,0.591109
1172,0.629213
1173,0.617978
1174,0.611627
1175,0.617489
1176,0.632145
1177,0.609184
1178,0.621397
1179,0.616512
1180,0.631656
1181,0.615535
1182,0.620420
1183,0.628725
1184,0.611138
1185,0.614069
1186,0.602345
1187,0.608696
1188,0.609673
1189,0.606742
1190,0.611138
1191,0.619932
1192,0.606742
1193,0.602345
1194,0.605765
1195,0.613092
1196,0.610161
1197,0.599414
1198,0.614069
1199,0.599902
1200,0.584758
1201,0.610650
1202,0.591597
1203,0.600879
1204,0.607230
1205,0.616023
1206,0.604299
1207,0.596971
1208,0.600391
1209,0.602345
1210,0.590620
1211,0.617978
1212,0.623840
1213,0.595017
1214,0.603810
1215,0.604787
1216,0.611138
1217,0.612604
1218,0.618955
1219,0.611138
1220,0.598437
1221,0.605765
1222,0.585247
1223,0.613092
1224,0.610161
1225,0.594529
1226,0.596971
1227,0.614558
1228,0.587689
1229,0.599414
1230,0.603810
1231,0.598437
1232,0.597948
1233,0.606742
1234,0.607230
1235,0.582316
1236,0.614069
1237,0.585247
1238,0.603810
1239,0.583781
1240,0.596483
1241,0.592574
1242,0.611138
1243,0.588666
1244,0.591109
1245,0.591597
1246,0.593552
1247,0.605765
1248,0.585247
1249,0.579873
1250,0.602345
1251,0.602833
1252,0.603810
1253,0.598925
1254,0.584270
1255,0.608696
1256,0.601368
1257,0.575476
1258,0.588666
1259,0.587689
1260,0.587689
1261,0.597460
1262,0.590132
1263,0.594529
1264,0.608207
1265,0.597460
1266,0.604299
1267,0.596483
1268,0.594040
1269,0.583781
1270,0.582316
1271,0.593552
1272,0.589643
1273,0.586224
1274,0.598437
1275,0.582316
1276,0.583293
1277,0.593063
1278,0.600879
1279,0.595506
1280,0.575965
1281,0.571080
1282,0.586224
1283,0.567171
1284,0.595994
1285,0.583293
1286,0.592086
1287,0.567660
1288,0.567171
1289,0.581339
1290,0.564729
1291,0.578896
1292,0.588178
1293,0.587201
1294,0.576453
1295,0.586224
1296,0.561798
1297,0.578896
1298,0.589643
1299,0.551539
1300,0.590132
1301,0.593552
1302,0.568149
1303,0.586224
1304,0.567660
1305,0.552516
1306,0.565217
1307,0.574988
1308,0.591109
1309,0.561309
1310,0.567660
1311,0.576453
1312,0.578896
1313,0.570591
1314,0.567660
1315,0.578896
1316,0.569126
1317,0.571080
1318,0.577430
1319,0.582316
1320,0.567660
1321,0.573522
1322,0.579384
1323,0.568149
1324,0.576942
1325,0.578407
1326,0.575476
1327,0.579873
1328,0.567660
1329,0.580850
1330,0.564729
1331,0.566683
1332,0.550562
1333,0.569126
1334,0.574499
1335,0.553493
1336,0.558378
1337,0.562775
1338,0.570103
1339,0.569126
1340,0.562775
1341,0.576453
1342,0.556913
1343,0.563263
1344,0.556913
1345,0.548119
1346,0.542257
1347,0.567171
1348,0.559355
1349,0.569126
1350,0.565217
1351,0.553004
1352,0.572057
1353,0.563752
1354,0.567171
1355,0.574988
1356,0.565706
1357,0.561309
1358,0.558378
1359,0.556424
1360,0.547142
1361,0.578896
1362,0.554470
1363,0.552027
1364,0.555936
1365,0.555936
1366,0.542257
1367,0.561309
1368,0.574011
1369,0.555447
1370,0.547142
1371,0.559844
1372,0.550073
1373,0.559355
1374,0.565706
1375,0.550562
1376,0.546165
1377,0.531510
1378,0.555936
1379,0.558378
1380,0.555936
1381,0.560332
1382,0.562286
1383,0.560821
1384,0.558867
1385,0.551050
1386,0.569614
1387,0.561309
1388,0.540303
1389,0.549585
1390,0.537860
1391,0.551050
1392,0.536395
1393,0.553981
1394,0.546165
1395,0.536395
1396,0.555936
1397,0.561309
1398,0.542745
1399,0.535906
1400,0.545677
1401,0.547142
1402,0.553493
1403,0.535418
1404,0.536395
1405,0.545677
1406,0.550562
1407,0.528578
1408,0.535418
1409,0.533952
1410,0.530044
1411,0.552027
1412,0.547142
1413,0.551050
1414,0.538837
1415,0.539814
1416,0.536395
1417,0.531510
1418,0.538837
1419,0.538837
1420,0.540303
1421,0.554958
1422,0.530532
1423,0.521739
1424,0.531021
1425,0.520274
1426,0.538837
1427,0.539814
1428,0.528578
1429,0.547631
1430,0.523693
1431,0.533464
1432,0.522716
1433,0.544211
1434,0.526624
1435,0.549096
1436,0.527113
1437,0.524182
1438,0.519785
1439,0.521251
1440,0.517342
1441,0.525647
1442,0.524182
1443,0.508061
1444,0.535906
1445,0.536395
1446,0.532975
1447,0.528090
1448,0.531510
1449,0.544700
1450,0.527601
1451,0.526136
1452,0.547142
1453,0.519297
1454,0.536883
1455,0.517831
1456,0.506106
1457,0.533952
1458,0.519785
1459,0.529555
1460,0.517831
1461,0.522228
1462,0.511480
1463,0.543234
1464,0.512457
1465,0.526136
1466,0.534441
1467,0.509526
1468,0.520274
1469,0.506595
1470,0.519297
1471,0.525159
1472,0.521739
1473,0.521739
1474,0.510992
1475,0.526136
1476,0.516854
1477,0.521251
1478,0.521739
1479,0.531021
1480,0.531510
1481,0.513923
1482,0.504152
1483,0.520762
1484,0.525647
1485,0.518808
1486,0.517342
1487,0.521251
1488,0.524182
1489,0.507084
1490,0.512457
1491,0.503664
1492,0.524670
1493,0.510015
1494,0.534929
1495,0.516854
1496,0.526136
1497,0.516365
1498,0.502198
1499,0.507084
